apac_card_number,amount,payment_datetime
XXXX050X9845,3871.0,2026-08-12 13:06:45
XXXX055X1180,3003.0,2026-08-12 13:06:45
XXXX055X1504,3716.0,2026-08-12 13:06:45
XXXX055X1682,3768.0,2026-08-12 13:06:45
XXXX055X2557,2971.0,2026-08-12 13:06:45
XXXX055X2793,3716.0,2026-08-12 13:06:45
XXXX055X3454,3285.0,2026-08-12 13:06:45
XXXX055X3967,3771.0,2026-08-12 13:06:45
XXXX055X5731,3112.0,2026-08-12 13:06:45
XXXX055X6067,2807.0,2026-08-12 13:06:45
XXXX055X6531,4790.0,2026-08-12 13:06:45
XXXX055X7185,2639.0,2026-08-12 13:06:45
XXXX055X7827,3317.0,2026-08-12 13:06:45
XXXX055X8575,3010.0,2026-08-12 13:06:45
XXXX055X9508,2885.0,2026-08-12 13:06:45
XXXX055X9549,6548.0,2026-08-12 13:06:45
XXXX056X3335,3716.0,2026-08-12 13:06:45
XXXX060X0703,4408.0,2026-08-12 13:06:45
XXXX060X0808,3819.0,2026-08-12 13:06:45
XXXX060X0875,3773.0,2026-08-12 13:06:45
XXXX060X1219,2973.0,2026-08-12 13:06:45
XXXX060X1539,2885.0,2026-08-12 13:06:45
XXXX060X2165,3531.0,2026-08-12 13:06:45
XXXX060X3112,3308.0,2026-08-12 13:06:45
XXXX060X3730,3597.0,2026-08-12 13:06:45
XXXX060X3961,7433.0,2026-08-12 13:06:45
XXXX060X3985,4581.0,2026-08-12 13:06:45
XXXX060X4417,3819.0,2026-08-12 13:06:45
XXXX060X4660,2977.0,2026-08-12 13:06:45
XXXX060X5639,2850.0,2026-08-12 13:06:45
XXXX060X6427,3221.0,2026-08-12 13:06:45
XXXX060X6588,3716.0,2026-08-12 13:06:45
XXXX060X6908,3768.0,2026-08-12 13:06:45
XXXX060X6992,3598.0,2026-08-12 13:06:45
XXXX060X7268,2788.0,2026-08-12 13:06:45
XXXX060X7855,3466.0,2026-08-12 13:06:45
XXXX060X8049,3419.0,2026-08-12 13:06:45
XXXX060X8930,3079.0,2026-08-12 13:06:45
XXXX060X9108,2818.0,2026-08-12 13:06:45
XXXX060X9844,3159.0,2026-08-12 13:06:45
XXXX060X9879,2772.0,2026-08-12 13:06:45
XXXX061X1473,3063.0,2026-08-12 13:06:45
XXXX063X2476,2658.0,2026-08-12 13:06:45
XXXX063X2582,3768.0,2026-08-12 13:06:45
XXXX063X2735,3127.0,2026-08-12 13:06:45
XXXX063X3191,3014.0,2026-08-12 13:06:45
XXXX063X4068,2788.0,2026-08-12 13:06:45
XXXX063X6655,2408.0,2026-08-12 13:06:45
XXXX063X8592,5575.0,2026-08-12 13:06:45
XXXX065X0726,3768.0,2026-08-12 13:06:45
XXXX065X0849,2836.0,2026-08-12 13:06:45
XXXX065X1433,3146.0,2026-08-12 13:06:45
XXXX065X2128,2694.0,2026-08-12 13:06:45
XXXX065X3673,3768.0,2026-08-12 13:06:45
XXXX065X3734,3274.0,2026-08-12 13:06:45
XXXX065X4374,3768.0,2026-08-12 13:06:45
XXXX065X6575,3116.0,2026-08-12 13:06:45
XXXX065X7251,3742.0,2026-08-12 13:06:45
XXXX065X7641,3760.0,2026-08-12 13:06:45
XXXX065X9980,3278.0,2026-08-12 13:06:45
XXXX066X0166,2758.0,2026-08-12 13:06:45
XXXX066X3303,3460.0,2026-08-12 13:06:45
XXXX066X4027,6292.0,2026-08-12 13:06:45
XXXX066X4096,2441.0,2026-08-12 13:06:45
XXXX066X4478,2607.0,2026-08-12 13:06:45
XXXX068X0074,3078.0,2026-08-12 13:06:45
XXXX069X0878,2826.0,2026-08-12 13:06:45
XXXX069X3121,3786.0,2026-08-12 13:06:45
XXXX069X4838,2580.0,2026-08-12 13:06:45
XXXX069X7489,3342.0,2026-08-12 13:06:45
XXXX069X7564,3222.0,2026-08-12 13:06:45
XXXX069X8203,2828.0,2026-08-12 13:06:45
XXXX071X2548,3176.0,2026-08-12 13:06:45
XXXX072X0378,3315.0,2026-08-12 13:06:45
XXXX072X0491,3162.0,2026-08-12 13:06:45
XXXX072X1542,3523.0,2026-08-12 13:06:45
XXXX072X2020,3504.0,2026-08-12 13:06:45
XXXX072X4499,3240.0,2026-08-12 13:06:45
XXXX074X8820,3097.0,2026-08-12 13:06:45
XXXX074X8967,3768.0,2026-08-12 13:06:45
XXXX075X0193,4898.0,2026-08-12 13:06:45
XXXX075X0576,3004.0,2026-08-12 13:06:45
XXXX075X0589,3537.0,2026-08-12 13:06:45
XXXX075X0704,3349.0,2026-08-12 13:06:45
XXXX075X0816,2731.0,2026-08-12 13:06:45
XXXX075X1106,3410.0,2026-08-12 13:06:45
XXXX075X1368,4028.0,2026-08-12 13:06:45
XXXX075X1527,3524.0,2026-08-12 13:06:45
XXXX075X2067,3606.0,2026-08-12 13:06:45
XXXX075X2694,3391.0,2026-08-12 13:06:45
