apac_card_number,amount,payment_datetime
XXXX050X1633,5988.0,2026-07-16 16:29:29
XXXX050X2974,2788.0,2026-07-16 16:29:29
XXXX050X9845,3871.0,2026-07-16 16:29:29
XXXX054X0622,5326.0,2026-07-16 16:29:29
XXXX055X1180,3003.0,2026-07-16 16:29:29
XXXX055X1504,3716.0,2026-07-16 16:29:29
XXXX055X1682,3768.0,2026-07-16 16:29:29
XXXX055X2557,2971.0,2026-07-16 16:29:29
XXXX055X2793,3716.0,2026-07-16 16:29:29
XXXX055X3454,3285.0,2026-07-16 16:29:29
XXXX055X3828,3444.0,2026-07-16 16:29:29
XXXX055X5731,3112.0,2026-07-16 16:29:29
XXXX055X5849,3240.0,2026-07-16 16:29:29
XXXX055X6067,2807.0,2026-07-16 16:29:29
XXXX055X7827,3317.0,2026-07-16 16:29:29
XXXX055X8049,2414.0,2026-07-16 16:29:29
XXXX055X8575,3010.0,2026-07-16 16:29:29
XXXX055X9508,2885.0,2026-07-16 16:29:29
XXXX055X9549,6548.0,2026-07-16 16:29:29
XXXX055X9922,3647.0,2026-07-16 16:29:29
XXXX056X1836,3352.0,2026-07-16 16:29:29
XXXX056X3335,3716.0,2026-07-16 16:29:29
XXXX060X0808,3819.0,2026-07-16 16:29:29
XXXX060X0875,3773.0,2026-07-16 16:29:29
XXXX060X1539,2885.0,2026-07-16 16:29:29
XXXX060X1836,2739.0,2026-07-16 16:29:29
XXXX060X3730,3597.0,2026-07-16 16:29:29
XXXX060X3961,7433.0,2026-07-16 16:29:29
XXXX060X4660,2977.0,2026-07-16 16:29:29
XXXX060X5318,3259.0,2026-07-16 16:29:29
XXXX060X6427,3221.0,2026-07-16 16:29:29
XXXX060X6992,3598.0,2026-07-16 16:29:29
XXXX060X7268,2788.0,2026-07-16 16:29:29
XXXX060X8049,3419.0,2026-07-16 16:29:29
XXXX060X8058,3006.0,2026-07-16 16:29:29
XXXX060X8930,3079.0,2026-07-16 16:29:29
XXXX060X9108,2818.0,2026-07-16 16:29:29
XXXX060X9249,3353.0,2026-07-16 16:29:29
XXXX060X9879,2772.0,2026-07-16 16:29:29
XXXX060X9911,2850.0,2026-07-16 16:29:29
XXXX061X1473,3063.0,2026-07-16 16:29:29
XXXX063X0328,3076.0,2026-07-16 16:29:29
XXXX063X1103,3278.0,2026-07-16 16:29:29
XXXX063X2735,3127.0,2026-07-16 16:29:29
XXXX063X3191,3014.0,2026-07-16 16:29:29
XXXX063X4068,2788.0,2026-07-16 16:29:29
XXXX063X5072,3815.0,2026-07-16 16:29:29
XXXX063X6655,2408.0,2026-07-16 16:29:29
XXXX063X8615,2962.0,2026-07-16 16:29:29
XXXX063X9339,3393.0,2026-07-16 16:29:29
XXXX065X0086,3278.0,2026-07-16 16:29:29
XXXX065X0307,3692.0,2026-07-16 16:29:29
XXXX065X0406,4658.0,2026-07-16 16:29:29
XXXX065X0726,3768.0,2026-07-16 16:29:29
XXXX065X0849,2836.0,2026-07-16 16:29:29
XXXX065X1433,3146.0,2026-07-16 16:29:29
