apac_card_number,amount,payment_datetime
XXXX050X1633,5988.0,2026-06-11 15:01:57
XXXX050X2974,2788.0,2026-06-11 15:01:57
XXXX050X9845,3871.0,2026-06-11 15:01:57
XXXX055X0135,4460.0,2026-06-11 15:01:57
XXXX055X1180,3003.0,2026-06-11 15:01:57
XXXX055X2038,3639.0,2026-06-11 15:01:57
XXXX055X2557,2971.0,2026-06-11 15:01:57
XXXX055X3454,3285.0,2026-06-11 15:01:57
XXXX055X3967,3771.0,2026-06-11 15:01:57
XXXX055X4070,2769.0,2026-06-11 15:01:57
XXXX055X5849,3240.0,2026-06-11 15:01:57
XXXX055X6067,2807.0,2026-06-11 15:01:57
XXXX055X6531,4790.0,2026-06-11 15:01:57
XXXX055X7827,3317.0,2026-06-11 15:01:57
XXXX055X8049,2414.0,2026-06-11 15:01:57
XXXX055X8250,2787.0,2026-06-11 15:01:57
XXXX055X8575,3010.0,2026-06-11 15:01:57
XXXX055X9135,3446.0,2026-06-11 15:01:57
XXXX055X9180,3768.0,2026-06-11 15:01:57
XXXX055X9549,6548.0,2026-06-11 15:01:57
XXXX055X9922,3647.0,2026-06-11 15:01:57
XXXX056X1836,3352.0,2026-06-11 15:01:57
XXXX056X2123,3598.0,2026-06-11 15:01:57
XXXX056X3335,3716.0,2026-06-11 15:01:57
XXXX056X3441,2829.0,2026-06-11 15:01:57
XXXX060X0489,2505.0,2026-06-11 15:01:57
XXXX060X0703,4408.0,2026-06-11 15:01:57
XXXX060X0808,3819.0,2026-06-11 15:01:57
XXXX060X1292,3485.0,2026-06-11 15:01:57
XXXX060X1836,2739.0,2026-06-11 15:01:57
XXXX060X2165,3531.0,2026-06-11 15:01:57
XXXX060X2923,3396.0,2026-06-11 15:01:57
XXXX060X3112,3308.0,2026-06-11 15:01:57
XXXX060X3563,3426.0,2026-06-11 15:01:57
XXXX060X3730,3597.0,2026-06-11 15:01:57
XXXX060X3961,7433.0,2026-06-11 15:01:57
XXXX060X4417,3819.0,2026-06-11 15:01:57
XXXX060X4660,2977.0,2026-06-11 15:01:57
XXXX060X5318,3259.0,2026-06-11 15:01:57
XXXX060X5639,2850.0,2026-06-11 15:01:57
XXXX060X6038,4153.0,2026-06-11 15:01:57
XXXX060X6427,3221.0,2026-06-11 15:01:57
XXXX060X6588,3716.0,2026-06-11 15:01:57
